user_index,user_total_rows,utility_popularity,coherence,history_length_mean,v1_ndcg10,core_ndcg10,delta_ndcg10,v1_hit10,core_hit10,delta_hit10,v1_rank,core_rank,delta_rank,utility_bucket
6678,4,0.6224999874830246,0.8826464116573334,10.0,0.0,0.0,0.0,0.0,0.0,0.0,751.5,659.0,-92.5,Q3
6679,4,0.7249999791383743,0.8755806982517242,10.0,0.0,0.0,0.0,0.0,0.0,0.0,621.5,868.25,246.75,Q4
6680,4,0.6649999916553497,0.8958844542503357,10.0,0.0,0.0,0.0,0.0,0.0,0.0,2793.25,2993.75,200.5,Q3
6681,4,0.8374999761581421,0.8772807866334915,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1124.75,507.25,-617.5,Q4
6682,4,0.7199999690055847,0.8985950201749802,10.0,0.0,0.0,0.0,0.0,0.0,0.0,246.75,176.5,-70.25,Q4
6683,4,0.8499999791383743,0.8819750547409058,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1594.25,1147.5,-446.75,Q4
6684,4,0.3049999959766865,0.8752762377262115,10.0,0.0,0.0,0.0,0.0,0.0,0.0,569.75,139.5,-430.25,Q1
6685,4,0.5399999991059303,0.886232316493988,10.0,0.0,0.2299986481666565,-0.2299986481666565,0.0,0.5,-0.5,374.25,162.0,-212.25,Q2
6686,4,0.6587499901652336,0.8859194964170456,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1142.75,752.0,-390.75,Q3
6687,4,0.26124998927116394,0.8818149119615555,10.0,0.0,0.07886622101068497,-0.07886622101068497,0.0,0.25,-0.25,221.25,85.5,-135.75,Q1
6688,4,0.6799999922513962,0.8876098990440369,10.0,0.0,0.0,0.0,0.0,0.0,0.0,4444.75,2901.0,-1543.75,Q3
6689,4,0.4375,0.8896017670631409,10.0,0.0,0.0,0.0,0.0,0.0,0.0,3945.75,2286.5,-1659.25,Q1
6690,4,0.3174999840557575,0.8765131384134293,10.0,0.0,0.0,0.0,0.0,0.0,0.0,5420.0,5454.75,34.75,Q1
6691,4,0.5074999891221523,0.877886489033699,10.0,0.0,0.0,0.0,0.0,0.0,0.0,429.25,147.25,-282.0,Q2
6692,4,0.47999999672174454,0.8785311877727509,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1574.5,1734.5,160.0,Q2
6693,4,0.5324999950826168,0.8963149040937424,10.0,0.0,0.0,0.0,0.0,0.0,0.0,606.0,694.25,88.25,Q2
6694,4,0.6549999788403511,0.8879762142896652,10.0,0.0,0.0,0.0,0.0,0.0,0.0,430.5,871.25,440.75,Q3
6695,4,0.8274999856948853,0.9082966297864914,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1599.0,1050.0,-549.0,Q4
6696,4,0.42874998413026333,0.8854674100875854,10.0,0.0,0.07226620614528656,-0.07226620614528656,0.0,0.25,-0.25,983.0,450.25,-532.75,Q1
6697,4,0.5174999907612801,0.9043179899454117,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1026.0,1021.75,-4.25,Q2
6698,4,0.32874999195337296,0.8912589401006699,10.0,0.0,0.0,0.0,0.0,0.0,0.0,115.75,138.75,23.0,Q1
6699,4,0.47249999083578587,0.8849493265151978,10.0,0.0,0.0,0.0,0.0,0.0,0.0,3584.75,1866.5,-1718.25,Q2
6700,4,0.47999998554587364,0.8921559453010559,10.0,0.0,0.0,0.0,0.0,0.0,0.0,377.25,249.0,-128.25,Q2
6701,4,0.45249998196959496,0.8822187185287476,10.0,0.09671320766210556,0.15773244202136993,-0.061019234359264374,0.25,0.25,0.0,184.5,538.0,353.5,Q1
6702,4,0.4299999848008156,0.8797256499528885,10.0,0.0,0.0833333358168602,-0.0833333358168602,0.0,0.25,-0.25,264.5,178.0,-86.5,Q1
6703,4,0.5799999833106995,0.891805112361908,10.0,0.0,0.0,0.0,0.0,0.0,0.0,2666.25,2173.0,-493.25,Q2
6704,4,0.5024999752640724,0.8693961501121521,10.0,0.0,0.0,0.0,0.0,0.0,0.0,865.75,947.0,81.25,Q2
6705,4,0.5349999852478504,0.8812031745910645,10.0,0.0,0.0,0.0,0.0,0.0,0.0,2543.75,1783.5,-760.25,Q2
6706,4,0.3374999975785613,0.8766381144523621,10.0,0.0,0.09671320766210556,-0.09671320766210556,0.0,0.25,-0.25,229.25,160.0,-69.25,Q1
6707,4,0.5649999789893627,0.8866233080625534,10.0,0.0,0.0,0.0,0.0,0.0,0.0,3076.75,2679.25,-397.5,Q2
6708,4,0.7862499803304672,0.8879375904798508,10.0,0.0,0.0,0.0,0.0,0.0,0.0,156.75,85.5,-71.25,Q4
6709,4,0.3687499985098839,0.8790465444326401,10.0,0.0,0.0,0.0,0.0,0.0,0.0,2021.25,1654.0,-367.25,Q1
6710,4,0.8799999803304672,0.8801769912242889,10.0,0.0833333358168602,0.0,0.0833333358168602,0.25,0.0,0.25,189.5,426.75,237.25,Q4
6711,4,0.7549999877810478,0.9083784818649292,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1306.75,1371.25,64.5,Q4
6712,4,0.8899999707937241,0.9017624855041504,10.0,0.0,0.0,0.0,0.0,0.0,0.0,178.75,213.25,34.5,Q4
