user_index,user_total_rows,utility_popularity,coherence,history_length_mean,v1_ndcg10,core_ndcg10,delta_ndcg10,v1_hit10,core_hit10,delta_hit10,v1_rank,core_rank,delta_rank,utility_bucket
179,4,0.7199999745935202,0.8799586892127991,10.0,0.0,0.0,0.0,0.0,0.0,0.0,450.0,339.75,-110.25,Q2
180,4,0.8649999648332596,0.8809198439121246,10.0,0.0,0.07525750249624252,-0.07525750249624252,0.0,0.25,-0.25,67.75,43.0,-24.75,Q3
181,4,0.7449999749660492,0.8704118430614471,10.0,0.0,0.0,0.0,0.0,0.0,0.0,122.0,254.75,132.75,Q2
182,4,0.6437499672174454,0.8692190498113632,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1118.5,536.0,-582.5,Q1
183,4,0.8199999779462814,0.89451102912426,10.0,0.0,0.0,0.0,0.0,0.0,0.0,722.25,398.25,-324.0,Q3
184,4,0.5562499985098839,0.8673574775457382,10.0,0.15773244202136993,0.25,-0.09226755797863007,0.25,0.25,0.0,978.0,81.5,-896.5,Q1
185,4,0.9299999922513962,0.8941250592470169,10.0,0.0,0.10766914486885071,-0.10766914486885071,0.0,0.25,-0.25,157.0,428.75,271.75,Q4
186,4,0.867499977350235,0.8963124603033066,10.0,0.15773244202136993,0.15773244202136993,0.0,0.25,0.25,0.0,256.25,53.0,-203.25,Q3
187,4,0.7624999731779099,0.8868837058544159,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1035.25,619.5,-415.75,Q2
188,4,0.6724999845027924,0.8745001703500748,10.0,0.0833333358168602,0.15773244202136993,-0.07439910620450974,0.25,0.25,0.0,789.0,569.25,-219.75,Q2
189,4,0.3475000001490116,0.8685274571180344,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1145.5,1329.5,184.0,Q1
190,4,0.7224999740719795,0.8727013170719147,10.0,0.07525750249624252,0.0,0.07525750249624252,0.25,0.0,0.25,558.5,523.5,-35.0,Q2
191,4,0.836249977350235,0.8788553029298782,10.0,0.0,0.0,0.0,0.0,0.0,0.0,445.25,499.25,54.0,Q3
192,4,0.9024999737739563,0.8967164605855942,10.0,0.0,0.0,0.0,0.0,0.0,0.0,147.5,71.75,-75.75,Q4
193,4,0.7949999868869781,0.8742834329605103,10.0,0.0,0.3442678079009056,-0.3442678079009056,0.0,0.75,-0.75,63.75,15.0,-48.75,Q3
194,4,0.8799999803304672,0.8649898320436478,10.0,0.0,0.0,0.0,0.0,0.0,0.0,790.25,485.5,-304.75,Q4
195,4,0.7349999733269215,0.8922454416751862,10.0,0.0,0.08905179798603058,-0.08905179798603058,0.0,0.25,-0.25,365.25,77.75,-287.5,Q2
196,4,0.7999999821186066,0.8882518857717514,10.0,0.0,0.0,0.0,0.0,0.0,0.0,894.5,932.5,38.0,Q3
197,4,0.7899999767541885,0.8843385577201843,10.0,0.07886622101068497,0.15773244202136993,-0.07886622101068497,0.25,0.25,0.0,64.5,29.75,-34.75,Q3
198,4,0.5549999885261059,0.8875168710947037,10.0,0.0,0.0,0.0,0.0,0.0,0.0,830.25,479.5,-350.75,Q1
199,4,0.9074999690055847,0.8855998665094376,10.0,0.0,0.0,0.0,0.0,0.0,0.0,642.75,1185.5,542.75,Q4
200,4,0.4999999813735485,0.8705254644155502,10.0,0.0833333358168602,0.07886622101068497,0.004467114806175232,0.25,0.25,0.0,311.25,217.25,-94.0,Q1
201,4,0.9249999672174454,0.886011391878128,10.0,0.0,0.0,0.0,0.0,0.0,0.0,280.5,423.75,143.25,Q4
202,4,0.7824999839067459,0.893965020775795,10.0,0.08905179798603058,0.0,0.08905179798603058,0.25,0.0,0.25,248.5,51.25,-197.25,Q3
203,4,0.6724999770522118,0.876738041639328,10.0,0.07886622101068497,0.10766914486885071,-0.02880292385816574,0.25,0.25,0.0,678.75,439.25,-239.5,Q2
204,4,0.7949999868869781,0.8701517283916473,10.0,0.17557942867279053,0.15773244202136993,0.017846986651420593,0.5,0.25,0.25,24.0,62.25,38.25,Q3
205,4,0.6774999722838402,0.8739282488822937,10.0,0.0,0.15773244202136993,-0.15773244202136993,0.0,0.25,-0.25,432.5,72.25,-360.25,Q2
206,4,0.7774999886751175,0.8749136030673981,10.0,0.07886622101068497,0.312051497399807,-0.233185276389122,0.25,0.75,-0.5,105.0,20.0,-85.0,Q3
207,4,0.8174999803304672,0.8803407698869705,10.0,0.0,0.125,-0.125,0.0,0.25,-0.25,34.0,15.5,-18.5,Q3
208,4,0.6249999776482582,0.8744294941425323,10.0,0.0,0.0,0.0,0.0,0.0,0.0,655.0,328.25,-326.75,Q1
209,4,0.7950000017881393,0.8791933357715607,10.0,0.0,0.15773244202136993,-0.15773244202136993,0.0,0.25,-0.25,91.75,27.0,-64.75,Q3
210,4,0.7449999861419201,0.8823908865451813,10.0,0.17557942867279053,0.32226620614528656,-0.14668677747249603,0.5,0.5,0.0,267.75,16.75,-251.0,Q2
211,4,0.8849999606609344,0.8832307755947113,10.0,0.0,0.125,-0.125,0.0,0.25,-0.25,237.25,208.0,-29.25,Q4
212,4,0.9549999684095383,0.8989356607198715,10.0,0.0833333358168602,0.18576500564813614,-0.10243166983127594,0.25,0.5,-0.25,63.0,56.25,-6.75,Q4
213,4,0.6874999813735485,0.873693510890007,10.0,0.0,0.15773244202136993,-0.15773244202136993,0.0,0.25,-0.25,286.5,708.25,421.75,Q2
214,4,0.684999980032444,0.879355251789093,10.0,0.0,0.0,0.0,0.0,0.0,0.0,842.25,1072.5,230.25,Q2
215,4,0.622499980032444,0.8795788884162903,10.0,0.10766914486885071,0.4231340289115906,-0.31546488404273987,0.25,0.75,-0.5,234.25,16.0,-218.25,Q1
216,4,0.8824999928474426,0.9039675891399384,10.0,0.0,0.07525750249624252,-0.07525750249624252,0.0,0.25,-0.25,95.0,64.5,-30.5,Q4
217,4,0.8949999660253525,0.8941234350204468,10.0,0.0,0.0,0.0,0.0,0.0,0.0,275.75,78.0,-197.75,Q4
